,Place,Rank,Name,No.of votes,Percentage of votes,Party
0,Adilabad,1,Godam Nagesh,"430,847",41.2%,Telangana Rashtra Samithi
1,,2,Naresh,"259,557",24.8%,Indian National Congress
2,,3,Ramesh Rathod,"184,198",17.6%,Telugu Desam
3,,,,,,
4,Agra,1,Dr. Ram Shankar Katheria,"583,716",54.5%,Bharatiya Janta Party
5,,2,Narayan Singh Suman,"283,453",26.5%,Bahujan Samaj Party
6,,3,Maharaj Singh Dhangar,"134,708",12.6%,Samajwadi Party
7,,,,,,
8,Ahmadnagar,1,Gandhi Dilipkumar Mansukhlal,"605,185",57.0%,Bharatiya Janta Party
9,,2,Rajeev Appasaheb Rajale,"396,063",37.3%,Nationalist Congress Party
10,,3,Kolsepatil Baban Gangadhar,"12,683",1.2%,Independent
11,,,,,,
12,Ahmedabad East,1,Paresh Rawal,"633,582",64.3%,Bharatiya Janta Party
13,,2,Patel Himmatsingh Prahladsingh,"306,949",31.1%,Indian National Congress
14,,3,Dinesh Vaghela,"11,349",1.2%,Aam Aadmi Party
15,,,,,,
16,Ahmedabad West,1,Dr. Kirit P Solanki,"617,104",64.0%,Bharatiya Janta Party
17,,2,Ishwarbahi Dhanabhai Makwana,"296,793",30.8%,Indian National Congress
18,,3,J J Mevada,"17,332",1.8%,Aam Aadmi Party
19,,,,,,
20,Ajmer,1,Sanwar Lal Jat,"637,874",55.2%,Bharatiya Janta Party
21,,2,Sachin Pilot,"465,891",40.3%,Indian National Congress
22,,3,Sanwar Lal,"12,149",1.1%,Nationalist Congress Party
23,,,,,,
24,Akbarpur,1,Devendra Singh @ Bhole Singh,"481,584",49.6%,Bharatiya Janta Party
25,,2,Anil Shukla Warsi,"202,587",20.9%,Bahujan Samaj Party
26,,3,Lal Singh Tomar,"147,002",15.1%,Samajwadi Party
27,,,,,,
28,Akola,1,Dhotre Sanjay Shamrao,"456,472",46.7%,Bharatiya Janta Party
29,,2,Patel Hidayat Ulla Barkat Ulla,"253,356",25.9%,Indian National Congress
30,,3,Ambedkar Prakash Yashwant,"238,776",24.4%,Bharipa Bahujan Mahasangh
31,,,,,,
